weval,wdepth,wavgt,beval,bdepth,bavgt,wturns,bturns,winner,w:b
Simple,1,0.001129058,Zones,1,0.001612863,30,30,w,34:30:00
Simple,2,0.013935466,Zones,1,0.001419344,30,30,w,39:25:00
Simple,3,0.055161315,Zones,1,0.001838692,30,30,b,31:33:00
Simple,3,0.044636365,Zones,2,0.011818178,28,32,b,12:52
Simple,5,0.829967737,Zones,2,0.010838747,30,30,w,46:18:00
Simple,5,1.285709658,Zones,3,0.070193583,28,30,b,20:42
Simple,1,0.000749983,Classic,1,0.001343764,29,31,b,22:42
Simple,2,0.007741943,Classic,1,0.001290298,30,30,s,32:32:00
Simple,3,0.065099994,Classic,1,0.001633318,30,29,w,39:24:00
Simple,3,0.053533308,Classic,2,0.012033304,30,29,b,24:39:00
Simple,5,0.401125006,Classic,2,0.00921873,29,31,b,19:45
Simple,5,1.097999992,Classic,3,0.074655188,29,28,w,36:25:00
Zones,1,0.0014375,Classic,1,0.001999989,29,31,b,17:47
Zones,2,0.025225793,Classic,1,0.00225807,30,30,b,22:42
Zones,3,0.068900005,Classic,1,0.001200008,30,29,b,29:34:00
Zones,3,0.080199973,Classic,2,0.016766691,30,29,w,33:30:00
Zones,5,1.694538483,Classic,2,0.012884589,26,25,w,28:27:00
Zones,5,1.372533345,Classic,3,0.043999998,29,29,w,34:28:00
Simple,1,0.000571438,Fancy,1,0.005178579,18,27,b,00:49
Simple,2,0.005272742,Fancy,1,0.006727276,28,32,b,25:39:00
Simple,3,0.019727252,Fancy,1,0.005818179,28,32,b,22:42
Simple,3,0.014281228,Fancy,2,0.014468744,29,31,b,23:41
Simple,5,0.377903192,Fancy,2,0.02067742,29,30,w,39:24:00
Simple,5,0.434766666,Fancy,3,0.14053328,27,29,b,16:44
Classic,1,0.000838726,Fancy,1,0.005709671,30,30,b,31:33:00
Classic,2,0.007580649,Fancy,1,0.005870981,30,30,w,36:28:00
Classic,3,0.048161284,Fancy,1,0.005580633,30,30,b,30:34:00
Classic,3,0.060299993,Fancy,2,0.027666664,30,29,w,46:17:00
Classic,5,1.120769244,Fancy,2,0.017923062,13,12,w,29:00:00
Classic,5,0.830466644,Fancy,3,0.118233363,29,29,b,14:48
Zones,1,0.000903222,Fancy,1,0.006032221,30,30,w,47:17:00
Zones,2,0.012225805,Fancy,1,0.006193538,30,30,w,35:29:00
Zones,3,0.025387103,Fancy,1,0.00522582,30,30,w,46:18:00
Zones,3,0.039727247,Fancy,2,0.025757602,28,32,b,19:45
Zones,5,0.885812499,Fancy,2,0.023812503,29,31,w,38:26:00
Zones,5,0.960466671,Fancy,3,0.136800011,29,29,b,25:37:00
Classic,5,0.831645158,Fancy,4,0.479161301,24,30,b,14:44
Zones,5,0.527781248,Fancy,4,0.302125022,25,31,b,05:55
Classic,5,0.831387066,Fancy test sa l,4,0.483193597,24,30,b,14:44
Zones,5,0.526093751,Fancy test sa l,4,0.301343754,25,31,b,05:55
Classic,5,1.207516124,Fancy test sa f,4,0.650967752,28,30,b,26:36:00
Zones,5,0.846903209,Fancy test sa f,4,0.376999993,28,30,b,11:51
Classic,5,1.422450006,Fancy test sa f| m| ,4,0.495899975,20,19,b,21:22
Zones,5,1.120193558,Fancy test sa f| m| ,4,0.572129073,28,30,b,23:39
Classic,5,1.428413802,Fancy test sa f| m| c| ,4,0.73189654,28,28,w,37:23:00
Zones,5,1.190966678,Fancy test sa f| m| c| ,4,0.648966654,29,29,w,36:26:00
Zones,5,0.562000006,Fancy test sa d| ,4,0.31650003,25,31,b,05:55
Classic,5,0.671161275,Fancy test sa d| ,4,0.406612912,28,30,b,25:37:00
Fancy,3,0.22883335,Fancy,3,0.169766665,29,29,w,44:18:00
Fancy,3,0.184931032,Fancy test sa f| ,3,0.158448302,29,28,b,21:40
Fancy test sa f| ,3,0.083624989,Fancy,3,0.147250012,27,31,b,13:49
Fancy,3,0.256533305,Fancy test sa c| ,3,0.193033338,29,29,w,40:22:00
Fancy test sa c| ,3,0.258333339,Fancy,3,0.217666661,27,26,w,32:25:00
Fancy,3,0.221799994,Fancy test sa m| ,3,0.188233336,28,29,b,26:35:00
Fancy test sa m| ,3,0.084633327,Fancy,3,0.227099951,29,29,w,36:26:00
Fancy,3,0.231299996,Fancy test sa l| ,3,0.171833348,29,29,w,44:18:00
Fancy test sa l| ,3,0.226599979,Fancy,3,0.168300009,29,29,w,44:18:00
Fancy,3,0.265000025,Fancy test sa d| ,3,0.199966645,29,29,b,22:40
Fancy test sa d| ,3,0.227633301,Fancy,3,0.168933352,29,29,w,44:18:00
Fancy,3,0.286000013,Fancy test sa p| ,3,0.19435714,28,27,w,40:19:00
Fancy test sa p| ,3,0.290133333,Fancy,3,0.241799998,29,29,w,32:30:00
